load_date,version,year,timeframe,reporting level,month,region,kpi_text,market_type_text,bu,bu_text,leg_cat,leg_cat_text,country,country_text,brand_text,brand_segment_text,sub_category_text,bsp,bsp_text,area,Act,act_ytd,py,py_ytd,rf,rf_ytd,ac
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202508,EU,Net Revenue,Emerging Markets,DACHBU2,DACH,BEVERAGES,Beverages,MEA,MEA Development Mark,U'Guan,Sweet Biscuit,Biscuits,EUBIBI56D,LU V.Petit Beurre Soft Cake,SCE2,116.71,139.47,286.2,119.46,362.32,92.25,182.96
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202502,AMEA,Operating Income,Developed Markets,MXT2,Mexico,CANDY,Candy,BG,Bulgaria,Edes,Sweet Biscuit,Biscuits,EUBIBI56H,Belvita Tartine,CZSKHU2,10.63,9.66,21.62,43.56,8.86,18.84,10.72
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202507,AMEA,Gross Profit (MM) Kgs,Developed Markets,SSA2,SSA,BEVERAGES,Beverages,ID,Indonesia,Snackwell,Biscuit Other,Biscuits,EUBIBI56I,Fontaneda Sugar Free - Biscuits,ENJOY LIFE,31.38,9.62,40.68,20.77,23.83,22.01,35.52
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202510,HQ,Operating Income,Developed Markets,SCO2,S Cone,NO_CATEGORY,No Category,AHQ,AMEA HQ,No Product,No Product,No Category,EUBIBI55Z,Kinh Do Wafer Tet,MEXICO,5.02,5.2,71.48,58.43,11.33,36.74,23.52
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202504,EU,Volume (MM) Kgs,Emerging Markets,ANZJT2,ANZ&J,BISC&BKDSN,Bisc & Bkd Sn,GH,Ghana,Pacific,Savory Biscuit,Biscuits,EUBIBI55I,BACK-TO-NATURE - NATURAL/ORGANIC BISCUITS,ME N AFRICA PAKISTAN,1.99,30.44,13.28,25.83,10.66,17.22,35.75
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202502,HQ,Operating Income,Developed Markets,SCO2,S Cone,NO_CATEGORY,No Category,ALL,All Other,Milka,Chocolate Other,Chocolate,EUBIBI14Z,Enjoy Life Bars,DACHBU2,12.16,72.79,27.4,68.11,39.29,23.83,20.77
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202505,HQ,Operating Income,Developed Markets,SEA2,SEA,CANDY,Candy,NL,Netherlands,Pacific,Savory Biscuit,Biscuits,EUBIBI5RA,TUC Crackers/Sav,SWACAM2,56.4,10.21,76.31,74.81,70.68,41.76,38.38
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202511,HQ,Operating Income,Developed Markets,ANZJT2,ANZ&J,NO_CATEGORY,No Category,EAF,Eastern Africa,Miscellaneous Candy,Candy Other,Candy,EUBIBI5LA,LU CARNEVAL - BISCUITS,TATE'S,56.87,52.07,42.5,24.98,77.91,55.66,65.12
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202510,HQ,Operating Income,Developed Markets,CEEBU2,CEE,NO_CATEGORY,No Category,BO,Bolivia,Edes,Sweet Biscuit,Biscuits,EUBIBI55D,Miscellaneous Biscuit,BENL2,35.24,58.66,39.19,11.17,26.57,23.27,66.39
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202503,AMEA,Net Revenue,Emerging Markets,NA VENTURES,NA Ventures,BISC&BKDSN,Bisc & Bkd Sn,TR,Turkiye,Captains Table,Savory Biscuit,Biscuits,EUBIBI55D,Miscellaneous Biscuit,MDLZ HQ,97.21,193.29,168.61,85.48,56.69,63.44,155.84
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202501,LA,Operating Income,Developed Markets,DACHBU2,DACH,BISC&BKDSN,Bisc & Bkd Sn,AHQ,AMEA HQ,Enjoy Life,Biscuit Other,Biscuits,EUBIBI9ZZ,Cadbury Soft Cakes,SCE2,6.83,10.56,31.29,9.04,41.06,20.19,45.33
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202506,HQ,Gross Profit (MM) Kgs,Emerging Markets,SSA2,SSA,NO_CATEGORY,No Category,TR,Turkiye,Edes,Sweet Biscuit,Biscuits,EUBIBI9ZZ,Cadbury Soft Cakes,EST2,80.99,26.78,48.17,48.86,24.89,76.86,45.2
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202511,HQ,Gross Profit (MM) Kgs,Developed Markets,MDLZ HQ,MDLZ HQ,MEALS,Meals,HK,Hong Kong,Miscellaneous Chocolate,Chocolate Other,Chocolate,EUBIBI55M,Korento - Cookies,TREA2,26.16,80.3,97.42,83.15,32.46,93.09,46.75
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202504,AMEA,Net Revenue,Emerging Markets,NWEBU2,NWE,NO_CATEGORY,No Category,SE,Sweden,Cote d'Or,Chocolate Other,Chocolate,EUBIBI9BW,Ritz Harverst,CANADA,70.56,173.69,149.16,95.95,241.75,65.27,105.58
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202505,EU,Operating Income,Emerging Markets,DACHBU2,DACH,CANDY,Candy,PE,Peru,Ritz,Savory Biscuit,Biscuits,EUBIBI56D,LU V.Petit Beurre Soft Cake,TOTAL CHINA,56.25,16.95,42.62,54.97,63.07,13.35,51.07
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202508,EU,Gross Profit (MM) Kgs,Emerging Markets,ANZJT2,ANZ&J,CANDY,Candy,AAO,AMEA All Other,TUC,Savory Biscuit,Biscuits,EUBIBI55B,Captains Table Crackers,CANADA,79.22,42.58,62.04,25.4,67.13,72.73,77.66
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202504,LA,Operating Income,Emerging Markets,CANADA,Canada,CANDY,Candy,ES,Spain,belVita,Sweet Biscuit,Biscuits,EUBIBI15E,Milka Bars,LA ALL OTHER & HQ,28.03,33.81,37.89,38.53,50.14,20.6,42.13
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202509,AMEA,Volume (MM) Kgs,Developed Markets,BRT2,Brazil,BEVERAGES,Beverages,NZ,New Zealand,No Product,No Product,No Category,EUBIBI7GC,INTERCO/R&D/HQ OTHER BISCUITS,TREA2,27.51,11.13,6.71,9.73,18.79,19.92,7.79
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202506,AMEA,Operating Income,Developed Markets,CEEBU2,CEE,PLANNING ADJ,Planning Adj,DK,Denmark,Miscellaneous Candy,Candy Other,Candy,EUBIBI13F,Jacob's Crackers,CANADA,33.48,23.99,20.13,41.5,45.18,36.08,44.91
2025-07-01 00:00:00,public.RF08,2025,MON,RL0007XX,202503,EU,Volume (MM) Kgs,Emerging Markets,DACHBU2,DACH,MEALS,Meals,PT,Portugal,Miscellaneous Ref. Bev.,Ref Bev Other,Beverages,EUBIBI55N,Lucky Cookies,AMEA ALL OTHER & HQ,36.98,16.04,9.1,12.16,6.91,30.82,34.35
